HorseName,Rank,HorseNum,Age,Weight,HorseWeight,Top1Win,Top2Win,Distance,S1F,Cornor3,G3F,Cornor4,HorseWin,HorseRankInTop2,HorseRankInTop3,Cutted,Male,Female,Good,Rain,Fog
바이스로이,1,11,3,56,463,2.6,1.4,1200,13.4,24.2,36.2,42.4,1,1,1,1,0,0,0,1,0
탑퀄리티,2,12,3,56,473,2,1,1200,13.5,24.3,36.3,42.5,0,1,1,1,0,0,0,1,0
유정챔프,3,8,3,56,483,30.6,5.2,1200,14,25.2,37.2,43.3,0,0,1,0,1,0,0,1,0
방탄여걸,4,10,3,54,423,13.1,5,1200,14.2,25.3,37.4,43.6,0,0,0,0,0,1,0,1,0
로열영광,5,6,3,56,458,19.8,1.2,1200,14.2,25.5,37.6,43.9,0,0,0,0,1,0,0,1,0
어드밴스,6,1,4,50,433,6.1,1.6,1200,13.7,24.9,37.2,43.4,0,0,0,0,0,1,0,1,0
위닝메이커,7,4,3,52,475,59.3,11.3,1200,13.5,24.7,36.7,42.9,0,0,0,0,0,1,0,1,0
텐스타,8,5,3,54,447,553.1,31.7,1200,14.2,25.3,37.5,43.7,0,0,0,0,0,1,0,1,0
디바인파워,9,2,4,56,481,148.2,20.1,1200,14.4,25.8,38,44.2,0,0,0,0,1,0,0,1,0
슈퍼파크,10,3,4,54,461,414.8,29.5,1200,14.2,25.6,37.8,44.1,0,0,0,0,0,1,0,1,0
금아임패커블,11,9,5,56,513,127.6,31.7,1200,14.4,26.1,38.7,45.1,0,0,0,1,0,0,0,1,0
개나리송,1,13,5,52,519,29.7,3.4,1200,13.3,23.9,35.5,41.4,1,1,1,1,0,0,0,1,0
엠제이파워,2,14,5,52.5,513,12.8,1.3,1200,13.6,24.2,36,42,0,1,1,1,0,0,0,1,0
어나더스마트원,3,5,7,53,498,126.2,1.8,1200,13.6,25,36.7,42.7,0,0,1,1,0,0,0,1,0
화기,4,10,5,51,475,87.6,9.4,1200,13.6,24.5,36.6,42.7,0,0,0,0,0,1,0,1,0
플레이시스투고,5,1,7,53,459,169.4,31.5,1200,14.1,25.5,37.3,43.3,0,0,0,1,0,0,0,1,0
울트라펀치,6,8,5,51,497,32.4,7.2,1200,13.4,24.3,36.3,42.4,0,0,0,1,0,0,0,1,0
야호스마트캣,7,3,6,51,480,23.9,6.7,1200,13.4,24.2,36,42,0,0,0,1,0,0,0,1,0
브라이트캣,8,12,7,52,480,390.8,9.7,1200,14.3,25.8,38.1,44.4,0,0,0,0,1,0,0,1,0
문학쓰나미,9,9,5,51,496,60.5,10.5,1200,13.6,24.9,36.8,43,0,0,0,0,1,0,0,1,0
해후,10,4,6,52,453,35.8,24.6,1200,13.7,25.3,37.1,43.2,0,0,0,0,1,0,0,1,0
컴플리트스윕,11,2,6,52,522,4.1,2.6,1200,13.4,24.4,36.3,42.4,0,0,0,0,1,0,0,1,0
흑전사,1,11,5,52,495,8.6,2.2,1800,13.8,68.8,76.1,83.3,1,1,1,0,1,0,1,0,0
톱브레인,2,2,6,52,514,23,5,1800,13.9,69.3,76.8,84,0,1,1,1,0,0,1,0,0
위너골드,3,7,6,53,481,21,4.8,1800,14.8,69.9,77.4,84.4,0,0,1,0,1,0,1,0,0
강토마,4,3,6,55.5,493,2.5,1,1800,14.2,69.7,77.2,84.3,0,0,0,1,0,0,1,0,0
릴패트론,5,5,5,52,484,22.2,6.5,1800,14.4,69.6,77,84.2,0,0,0,1,0,0,1,0,0
클리어검,6,10,5,52,486,21.2,3.7,1800,14,69.3,76.8,84,0,0,0,0,0,1,1,0,0
슈퍼삭스,7,8,6,52,509,8.5,9,1800,14.4,69.9,77.4,84.5,0,0,0,1,0,0,1,0,0
가온챔프,8,4,6,59,498,21.5,20.4,1800,13.5,69,76.5,83.5,0,0,0,0,1,0,1,0,0
선라이팅,9,6,6,51,536,35.2,7.7,1800,13.8,69.1,76.5,83.5,0,0,0,0,1,0,1,0,0
심장의고동,10,14,5,52,510,7.8,2.8,1800,14.1,69.4,77,84.2,0,0,0,0,1,0,1,0,0
왕벚꽃,11,12,5,51,513,6.1,2.4,1800,13.7,68.9,76.5,83.6,0,0,0,1,0,0,1,0,0
다크플레이어,12,1,5,52,447,80.1,43.8,1800,16,70.6,78,85.3,0,0,0,0,1,0,1,0,0
상감마마,13,9,9,52,452,42.5,23.1,1800,13.5,68.5,76,83.4,0,0,0,1,0,0,1,0,0
문학타이거,14,13,5,52,510,27,12.8,1800,14.2,69.7,77.4,84.7,0,0,0,0,1,0,1,0,0
그레이트한센,1,3,3,55,427,23.3,2.4,1200,13.4,24.6,37.1,43.5,1,1,1,0,0,1,1,0,0
엘리트파워,2,9,3,55,441,12.4,1.4,1200,13.5,25,37.4,43.7,0,1,1,0,0,1,1,0,0
레전드스타,3,1,3,55,425,1.4,1.4,1200,13.5,24.8,37.4,43.7,0,0,1,0,0,1,1,0,0
러브아치,4,8,3,55,454,5,1.5,1200,13.8,25.4,38,44.1,0,0,0,0,0,1,1,0,0
봄꽃,5,6,3,55,482,14,4.2,1200,14.2,25.6,38.3,44.6,0,0,0,0,0,1,1,0,0
주말의시작,6,7,3,55,462,45.3,3.6,1200,13.7,25.1,37.9,44.1,0,0,0,0,0,1,1,0,0
갑오사랑해,7,5,4,55,446,28.5,2.4,1200,13.5,24.8,37.4,43.8,0,0,0,0,0,1,1,0,0
원더풀리버,8,10,3,55,479,37.3,31,1200,13.6,25.4,38,44.1,0,0,0,0,0,1,1,0,0
월드메니피,9,4,3,55,445,198.6,9.2,1200,13.4,24.7,37.2,43.5,0,0,0,0,0,1,1,0,0
원더풀원더,10,11,3,55,453,17.3,10.9,1200,14.4,25.9,38.5,44.9,0,0,0,0,0,1,1,0,0
강한여전사,11,12,4,55,468,172.8,31.7,1200,13.7,25.4,37.8,44.1,0,0,0,0,0,1,1,0,0
명진캠프,12,2,3,51,451,92.4,34.8,1200,13.7,24.8,37.4,43.7,0,0,0,0,0,1,1,0,0
동진최강,1,13,3,57,492,1.5,1,1200,14.1,25.2,37.7,44.1,1,1,1,0,1,0,1,0,0
피케이로드,2,1,3,55,456,4.2,1.2,1200,13.8,24.6,36.5,42.8,0,1,1,0,0,1,1,0,0
골드케이,3,3,3,57,463,113.6,25,1200,13.7,24.6,36.8,43.2,0,0,1,1,0,0,1,0,0
이무기,4,7,3,57,456,68.5,4.6,1200,13.7,24.8,37,43.4,0,0,0,0,1,0,1,0,0
코리아기적,5,2,4,57,479,11.5,4,1200,13.9,25,37,43.3,0,0,0,1,0,0,1,0,0
초인스파크,6,9,3,57,490,25,14.6,1200,14.1,25.2,37.3,43.7,0,0,0,0,1,0,1,0,0
런런런,7,4,3,57,464,50.5,4.7,1200,13.9,25.9,38.6,45.2,0,0,0,0,1,0,1,0,0
거센돌풍,8,8,3,57,465,12.8,2.6,1200,13.3,24,35.8,42,0,0,0,0,1,0,1,0,0
어드밴스,9,10,4,51,424,133.3,13.3,1200,13.8,24.8,37.3,43.8,0,0,0,0,0,1,1,0,0
라온더삭스,10,6,3,55,453,29.9,5.6,1200,14.6,26.3,39.2,45.9,0,0,0,0,0,1,1,0,0
금성패션,11,11,3,55,462,172.4,40.5,1200,14.2,25.9,38,44.3,0,0,0,0,0,1,1,0,0
금아매저스티,12,5,5,57,524,19.4,5.3,1200,13.7,24.6,36.8,43.2,0,0,0,0,1,0,1,0,0
패밀리캡틴,13,12,3,57,443,120.5,82.4,1200,13.9,25.1,37.4,43.7,0,0,0,0,1,0,1,0,0
남산시대,1,1,3,57,484,1.5,1,1300,13.8,31,43.6,50,1,1,1,0,1,0,1,0,0
어서와,2,13,3,57,473,13.9,2.3,1300,13.9,30.8,43.3,49.8,0,1,1,0,1,0,1,0,0
신대로,3,12,4,57,471,7.6,2.1,1300,14.1,31.3,43.9,50.3,0,0,1,0,1,0,1,0,0
걸작맨,4,9,3,57,471,58.3,5.6,1300,14.6,32.1,44.8,51.1,0,0,0,1,0,0,1,0,0
정문폭주,5,10,3,57,490,25.5,7.9,1300,14.4,32.2,44.8,51.1,0,0,0,0,1,0,1,0,0
신데렐라,6,6,4,55,430,62,18,1300,13.8,31,43.6,50,0,0,0,0,0,1,1,0,0
엠제이스톰,7,7,3,57,505,8.1,5.2,1300,13.9,31.5,44.2,50.8,0,0,0,0,1,0,1,0,0
특급여왕,8,4,3,55,450,21.1,2.8,1300,13.7,30.8,43.3,49.7,0,0,0,0,0,1,1,0,0
청담여걸,9,11,4,55,481,13,1.7,1300,14,31.7,44.4,50.9,0,0,0,0,0,1,1,0,0
윈디러시,10,3,4,55,473,26.8,5.8,1300,14.1,31.7,44.3,50.8,0,0,0,0,0,1,1,0,0
매직의함성,11,2,3,57,508,149.8,25.5,1300,13.8,31.3,43.9,50.4,0,0,0,0,1,0,1,0,0
아이언로즈,12,8,3,55,478,110.8,16.4,1300,13.5,30.7,43.3,49.8,0,0,0,0,0,1,1,0,0
다나은석세스,13,5,4,57,465,201.3,75.2,1300,14,31.8,44.8,51.8,0,0,0,1,0,0,1,0,0
그레이트칸,1,6,4,55.5,522,7,2.1,1200,13.5,24.7,36.7,42.9,1,1,1,1,0,0,1,0,0
가자플랜,2,5,4,54,460,26.8,3.3,1200,13.4,24.5,36.5,42.7,0,1,1,0,0,1,1,0,0
가가나,3,4,4,55,536,8.7,4.1,1200,14,25.6,37.4,43.5,0,0,1,0,1,0,1,0,0
아테나브이,4,9,5,51,531,18.2,4.1,1200,13.8,25.3,37.4,43.5,0,0,0,0,0,1,1,0,0
그랜드캐슬,5,7,3,53.5,472,8.2,2.4,1200,14.6,26.1,38.2,44.4,0,0,0,0,1,0,1,0,0
아로마,6,2,4,53.5,487,7.4,2.3,1200,13.7,25.1,37.2,43.4,0,0,0,0,1,0,1,0,0
엄지여왕,7,8,6,52,492,65.8,22.7,1200,14.1,25.5,37.6,43.7,0,0,0,0,0,1,1,0,0
블랙실버,8,1,4,54,439,3.2,1.2,1200,13.6,24.9,37.1,43.2,0,0,0,0,0,1,1,0,0
엠제이베스트,9,3,3,54.5,472,3.2,1.4,1200,13.8,25.5,37.6,43.8,0,0,0,0,1,0,1,0,0
터프맨,1,1,3,55,522,1.4,1.5,1200,13.3,23.9,35.7,41.9,1,1,1,0,1,0,1,0,0
나인아이,2,7,3,54,504,17.3,2.8,1200,13.9,24.8,36.6,43,0,1,1,0,1,0,1,0,0
드림걸스,3,3,4,52.5,426,8.8,2.2,1200,13.3,24,36.2,42.5,0,0,1,0,0,1,1,0,0
골든제이,4,5,5,52.5,462,105,11.8,1200,13.4,24.3,36.4,42.7,0,0,0,0,0,1,1,0,0
탱크삭스,5,2,4,54,456,10,1.3,1200,13.9,24.8,36.6,43,0,0,0,0,0,1,1,0,0
폭스파워,6,6,3,55.5,472,5.4,1.1,1200,13.4,24.2,36.4,42.7,0,0,0,0,1,0,1,0,0
투엠오케이,7,9,6,53.5,459,39.1,11.4,1200,13.9,25.1,37,43.2,0,0,0,1,0,0,1,0,0
선샤인특급,8,4,5,52,506,59.6,3.6,1200,14.3,25.6,37.5,43.8,0,0,0,0,0,1,1,0,0
송암공주,9,8,6,52,453,63.8,6.1,1200,14,25.2,37,43.2,0,0,0,0,0,1,1,0,0
티케파이어,1,1,4,54,499,17.3,1.5,1700,15.2,65.4,73.1,80.8,1,1,1,0,1,0,1,0,0
러피언파크,2,12,4,52,470,155.9,20.3,1700,14.6,64.6,72.4,80.1,0,1,1,1,0,0,1,0,0
