id,순위,마번,마명,산지,성별,연령,중량,기수명,조교사명,마주명,마체중,단승,연승,장구현황,구간별순위,S-1F,1코너,2코너,3코너,G-3F,4코너,G-1F,경주기록,날짜,날씨,주로상태,등급,거리
0,1,6,비뢰킹,한,거,3세,56,김효정,배대선,김정두,479,9999.9,9999.9,"망사,계란형큰-",7-   -   - 8- 5- 5- 1,00:13.9,  ,  ,00:25.3,00:37.5,00:43.9,  ,01:16.2,2020년12월19일(토),맑음,건조,국6,1200M
1,2,11,세명나래,한,암,2세,53,조한별,신삼영,이기철,482,9999.9,9999.9,망사,3-   -   - 4- 4- 3- 4,00:13.8,  ,  ,00:24.9,00:37.3,00:43.6,  ,01:16.3,2020년12월19일(토),맑음,건조,국6,1200M
2,3,5,엠제이스톰,한,수,2세,55,송재철,김동균,박정재,515,9.6,6.4,"계란형큰+, 망사눈",1-   -   - 1- 1- 1- 2,00:13.8,  ,  ,00:24.8,00:37.0,00:43.3,  ,01:16.4,2020년12월19일(토),맑음,건조,국6,1200M
3,4,9,화이트트레인,한,수,2세,55,우에다,강성오,홍종운,489,9999.9,9999.9,"반가지큰, 망사눈",12-   -   - 11- 10- 10- 10,00:14.4,  ,  ,00:25.8,00:38.0,00:44.4,  ,01:16.5,2020년12월19일(토),맑음,건조,국6,1200M
4,5,10,이터널메모리,한,거,3세,56,김덕현,박재우,오종택,475,9999.9,9999.9,망사,9-   -   - 10- 12- 12- 11,00:14.2,  ,  ,00:25.8,00:38.3,00:44.6,  ,01:16.5,2020년12월19일(토),맑음,건조,국6,1200M
5,6,8,천마여제,한,암,3세,54,이철경,서인석,천병득,461,9999.9,9999.9,망사눈,11-   -   - 12- 11- 11- 8,00:14.3,  ,  ,00:25.9,00:38.3,00:44.6,  ,01:16.6,2020년12월19일(토),맑음,건조,국6,1200M
6,7,14,매드디바,한,암,3세,54,박현우,박천서,한명로,481,1,1,"반가지큰, 망사눈,혀끈-",13-   -   - 13- 13- 13- 9,00:14.4,  ,  ,00:26.2,00:38.7,00:45.0,  ,01:16.7,2020년12월19일(토),맑음,건조,국6,1200M
7,8,13,엘리트파워,한,암,2세,53,이혁,유재길,태희종합건설,452,9999.9,9999.9,"가지, 망사눈",4-   -   - 5- 7- 7- 6,00:13.8,  ,  ,00:25.0,00:37.6,00:44.0,  ,01:17.0,2020년12월19일(토),맑음,건조,국6,1200M
8,9,2,천총,한,수,3세,56,신형철,최봉주,조금제,469,9999.9,9999.9,망사눈,5-   -   - 2- 2- 2- 3,00:13.9,  ,  ,00:24.9,00:37.1,00:43.4,  ,01:17.0,2020년12월19일(토),맑음,건조,국6,1200M
9,10,12,소우주,한,수,2세,55,임기원,안병기,우태율,491,9999.9,6.4,"계란형큰, 망사눈",10-   -   - 9- 9- 8- 7,00:14.2,  ,  ,00:25.5,00:37.9,00:44.2,  ,01:17.3,2020년12월19일(토),맑음,건조,국6,1200M
