,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,14,파이어로드,한,수,3세,54.5,31,김정준,송문길,손병철,,499(5),8.8,2.5,망사눈,"2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
1,2,1,만세,한,거,4세,54,29,김동수,임봉춘,김진태a,4,483(12),12.9,2.4,"망사눈,반가지큰-","2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
2,3,11,와니케이,한,암,6세,*52,27,김옥성,유재길,김영완,¾,465(2),20.5,8.0,"반가지큰, 눈가면","2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
3,4,7,발바투,한,수,4세,57,35,최범현,곽영효,안영환,2½,492(3),5.6,2.1,"계란형큰, 망사눈","2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
4,5,9,레인,한,암,5세,52.5,30,이혁,이신영,이성영,머리,493(-7),64.6,7.4,망사눈,"2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
5,6,8,천지폭풍,한,거,5세,54.5,30,김귀배,서인석,홍상기,1¼,461(12),43.0,8.5,"계란형큰, 양털코,혀끈-","2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
6,7,13,골드필드,한,암,5세,52,31,(-1)문성혁,조현수,윤영기,½,451(4),51.7,17.5,"계란형큰, 망사","2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
7,8,3,트루팀버,한,암,7세,51,29,(-3)임다빈,토니,♠(주)녹원목장,머리,479(4),24.3,5.8,"계란형큰, 망사눈","2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
8,9,5,럭키플랜,한,암,4세,*52,28,문정균,이희영,김재영a,2,465(0),90.4,22.3,"망사, 반가지큰","2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
9,10,4,청산강호,한,수,3세,54.5,31,먼로,이관호,황은호,3,498(6),3.5,1.4,"계란형큰, 망사","2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
10,11,6,초동로켓,한,수,4세,56,33,김용근,최영주,손병철,½,539(-5),2.9,1.3,"망사눈, 승인편자","2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
11,12,2,뇌성벽력,한,거,5세,52,25,우에다,서인석,홍상기,½,498(7),40.4,10.1,"계란형큰, 눈가면,혀끈-","2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
12,13,12,진또배기,한,수,3세,51,29,(-4)김아현,지용철,박시용,2½,481(-8),13.9,4.3,계란형큰,"2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
13,,10,스테디챔피언,한,수,3세,55,32,신형철,김점오,♠신우철,출전취소,0(0),----,----,"계란형큰+, 망사","2021년 03월 28일 (일) 제7경주 서울 제 11일 흐림 포화 18% 14:00
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
